"acousticness","danceability","duration_ms","energy","genre","instrumentalness","key","liveness","loudness","mode","song_name","speechiness","tempo","time_signature","valence"
0.00255,0.33,220112,0.588,"Dark Trap",0.256,9,0.089,-7.874,0,"Hopeless",0.0536,154.464,3,0.245
0.245,0.58,256560,0.406,"Dark Trap",0.202,5,0.107,-11.288,0,"Something to Say (feat. Lunamila)",0.0311,146.002,4,0.0557
0.254,0.673,98116,0.942,"Dark Trap",0.00613,8,0.281,0.432,1,"Ain't Been Happy (Demo)",0.127,124.99,4,0.232
0.00646,0.528,166154,0.895,"Dark Trap",0.817,0,0.357,-8.002,1,"Feel Alive",0.0366,129.882,4,0.276
0.00207,0.782,127530,0.913,"Dark Trap",0,6,0.342,-3.215,0,"Rukus",0.0955,149.994,4,0.212
0.00595,0.563,299572,0.431,"Dark Trap",0.0404,11,0.0984,-8.978,0,"Things I Learned in a Car Crash",0.029,129.959,4,0.101
0.0573,0.729,240213,0.799,"Dark Trap",4.18e-06,11,0.289,-6.136,0,"VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1]",0.111,144.025,4,0.439
0.174,0.882,387712,0.525,"Dark Trap",0.037,9,0.0591,-12.809,0,"Goliath",0.204,130.01,4,0.237
0.441,0.593,256121,0.567,"Dark Trap",0.96,1,0.0758,-11.805,0,"Apathy",0.0527,120.002,4,0.0908
0.00176,0.614,220125,0.868,"Dark Trap",0.795,10,0.106,-6.982,0,"Murder Case",0.0715,144.009,4,0.488
0.14,0.881,184782,0.742,"Dark Trap",2.49e-06,0,0.156,-3.736,1,"Trap (feat. Lil Baby)",0.0535,116.997,4,0.432
0.000108,0.577,258783,0.739,"Dark Trap",0.903,7,0.164,-5.398,1,"The only",0.0268,114.989,4,0.0583
0.404,0.376,221182,0.548,"Dark Trap",0.286,7,0.0863,-9.25,0,"Runaway",0.0524,218.668,4,0.0876
0.00603,0.615,154215,0.836,"Dark Trap",0.0112,1,0.198,-6.512,1,"We Don't Speak Anymore",0.0336,146.012,4,0.438
0.0866,0.595,157720,0.645,"Dark Trap",1.74e-05,6,0.165,-4.872,1,"Hardly",0.108,134.941,4,0.205
0.00542,0.65,205766,0.254,"Dark Trap",0.817,4,0.124,-12.538,0,"Something Different",0.0354,133.033,4,0.115
0.18,0.514,234706,0.665,"Dark Trap",0.847,6,0.109,-13.03,0,"Leaving You",0.0483,136.058,4,0.0369
0.0852,0.897,145543,0.662,"Dark Trap",0,1,0.534,-6.903,0,"Drip Too Hard (Lil Baby & Gunna)",0.292,112.511,4,0.389
0.0101,0.61,208000,0.424,"Dark Trap",0.935,1,0.106,-18.853,1,"Sand",0.0769,119.997,4,0.106
0.627,0.91,131877,0.528,"Dark Trap",2.3e-06,5,0.18,-9.201,0,"Percosets & Papers",0.344,140.008,4,0.583
0.103,0.618,277524,0.628,"Dark Trap",0.782,2,0.109,-13.564,1,"Belong",0.0776,128.036,4,0.0777
0.0629,0.837,147529,0.389,"Dark Trap",0,1,0.128,-8.137,1,"Dolo",0.474,169.942,4,0.193
0.0253,0.722,143833,0.519,"Dark Trap",0.0114,0,0.189,-12.871,1,"WhatWasThat",0.0516,199.974,4,0.128
0.00163,0.596,261500,0.755,"Dark Trap",0.916,10,0.106,-5.989,1,"Yūgen",0.0302,120.004,4,0.108
0.00122,0.479,183058,0.701,"Dark Trap",0.714,6,0.265,-5.759,0,"Proximity",0.0411,155.946,4,0.165
0.0261,0.724,310250,0.891,"Dark Trap",0,1,0.273,-0.354,1,"METHHEAD FREESTYLE",0.294,184.956,4,0.71
0.000636,0.627,197223,0.804,"Dark Trap",0.595,1,0.107,-7.677,1,"Swee'love",0.0662,121.984,4,0.0392
0.24,0.743,213863,0.571,"Dark Trap",0,7,0.291,-6.054,0,"beibs in the trap",0.145,119.054,4,0.495
0.000409,0.505,103452,0.922,"Dark Trap",0.837,2,0.242,-3.125,1,"Misfortune",0.352,169.936,4,0.477
0.187,0.817,116000,0.911,"Dark Trap",0.00173,0,0.42,-2.153,1,"Champion Of Death",0.0455,119.989,3,0.34
0.286,0.492,350676,0.641,"Dark Trap",0,4,0.0673,-8.145,1,"BAD BLOOD",0.224,205.782,4,0.23
0.337,0.72,173939,0.842,"Dark Trap",0.115,8,0.11,-3.465,0,"I'M NOT OVER YOU",0.0305,125.052,4,0.737
0.000358,0.448,243375,0.529,"Dark Trap",0.0385,2,0.128,-7.255,0,"Internet Crush - Remnant.Exe Remix",0.0286,160.066,4,0.0395
0.2,0.722,120267,0.536,"Dark Trap",5.91e-05,1,0.0627,-7.044,1,"ROADRUNNER +",0.455,179.965,4,0.589
0.00703,0.464,181246,0.755,"Dark Trap",0.464,1,0.0702,-9.924,0,"Touch My Soul",0.0363,145.004,4,0.247
0.0425,0.687,186985,0.457,"Dark Trap",0.00853,2,0.101,-8.393,1,"Crowsfeet",0.183,189.916,4,0.183
0.81,0.847,120000,0.448,"Dark Trap",1.35e-05,0,0.325,-10.14,1,"GOSHA",0.416,159.95,4,0.488
0.00292,0.471,222929,0.779,"Dark Trap",0.63,6,0.191,-5.69,0,"Numb",0.0471,139.955,4,0.498
0.0312,0.706,163413,0.659,"Dark Trap",0.011,10,0.116,-9.23,1,"Welcome to Hell",0.337,165,4,0.204
0.000861,0.512,92690,0.883,"Dark Trap",0,4,0.663,-6.406,0,"Look At Me, I'm Dead",0.332,124.932,4,0.246
0.596,0.637,121807,0.72,"Dark Trap",3.55e-06,10,0.0942,-4.514,0,"Virtue",0.269,129.867,4,0.484
0.0707,0.479,163556,0.878,"Dark Trap",0.0032,8,0.469,-4.908,1,"Fade",0.0786,134.71,4,0.411
0.0594,0.782,129254,0.842,"Dark Trap",0,5,0.436,-6.649,0,"275 $uicide",0.167,112.034,4,0.671
0.00475,0.783,216842,0.882,"Dark Trap",0.000494,2,0.141,-4.82,1,"Gluttony",0.038,123.975,4,0.178
0.0152,0.58,128109,0.867,"Dark Trap",0.182,11,0.14,-4.031,0,"Bulletproof",0.165,159.95,4,0.482
0.00178,0.806,204199,0.617,"Dark Trap",0.735,1,0.103,-5.438,1,"Cliche",0.131,173.914,4,0.222
0.000986,0.554,235932,0.877,"Dark Trap",0.00175,8,0.111,-6.913,1,"Blue Jeans",0.0431,118.051,4,0.0723
0.0631,0.584,169906,0.825,"Dark Trap",0,9,0.225,-4.203,1,"She Told Me to Kill Myself",0.0859,162.013,4,0.705
0.0368,0.697,190302,0.618,"Dark Trap",0,6,0.085,-8.468,0,"Through the Motions",0.102,161.964,4,0.247
0.0444,0.417,223384,0.617,"Dark Trap",0.657,0,0.137,-7.316,0,"Skin",0.0391,129.956,4,0.128
0.0399,0.491,254196,0.664,"Dark Trap",0.0341,2,0.0791,-11.564,0,"In the Darkness",0.165,143.026,4,0.178
0.000961,0.609,211801,0.757,"Dark Trap",0.473,8,0.0849,-10.312,1,"How It Felt to Watch You Walk Away",0.0389,136.011,4,0.338
0.0107,0.265,212312,0.96,"Dark Trap",0.39,1,0.116,-6.254,0,"All You",0.856,159.804,5,0.0414
0.00326,0.568,151945,0.428,"Dark Trap",0.579,3,0.302,-8.514,0,"Downfall",0.0428,133.842,4,0.115
0.0259,0.338,270996,0.826,"Dark Trap",0.51,1,0.099,-6.524,1,"Night Racing",0.2,150.053,4,0.209
0.78,0.563,234862,0.379,"Dark Trap",0.905,0,0.0843,-16.991,1,"Sublime",0.0337,200.03,4,0.0334
0.0153,0.818,221005,0.658,"Dark Trap",0.00234,0,0.125,-7.258,1,"Broken Record for My Broken Heart",0.0414,137.977,4,0.556
0.396,0.74,303788,0.55,"Dark Trap",0,10,0.887,-8.369,0,"Fetti (feat. Da$H, Maxo Kream)",0.25,208.166,4,0.378
0.000474,0.752,158175,0.727,"Dark Trap",0.0383,8,0.0679,-7.467,1,"SocialCues",0.0319,133.038,4,0.63
0.018,0.904,114906,0.537,"Dark Trap",0.0156,9,0.111,-7.083,1,"DownTheDrain (Впустую)",0.132,141.996,4,0.208
0.0116,0.867,181040,0.517,"Dark Trap",0,2,0.31,-6.914,1,"Rockstar Chainz",0.307,143.043,4,0.271
0.11,0.76,140750,0.576,"Dark Trap",3.41e-06,1,0.194,-8.238,1,"CharacterSelect (ВыборПерсонажа)",0.0491,218.082,4,0.184
0.0862,0.509,225933,0.732,"Dark Trap",0.00362,9,0.276,-4.576,1,"Hieru",0.0336,140.01,4,0.252
0.035,0.242,133355,0.336,"Dark Trap",0.694,1,0.107,-10.842,0,"Fractured",0.0437,156.046,5,0.0369
0.0446,0.875,116735,0.503,"Dark Trap",0,11,0.221,-9.924,1,"Hellcat",0.407,147.007,4,0.582
0.622,0.428,158916,0.494,"Dark Trap",0.165,2,0.105,-10.41,1,"Seagull Sessions",0.293,157.246,4,0.173
0.23,0.689,196576,0.902,"Dark Trap",0.0205,8,0.556,-2.777,1,"Bogy",0.41,171.962,4,0.355
0.253,0.945,130978,0.587,"Dark Trap",1.01e-06,2,0.264,-5.104,1,"Killer",0.271,131.969,4,0.509
0.0737,0.493,128067,0.747,"Dark Trap",0.866,9,0.107,-9.102,0,"Sever All Ties",0.0522,159.964,4,0.192
0.00242,0.669,96817,0.67,"Dark Trap",0.00243,1,0.185,-6.75,1,"Tool",0.411,160.943,4,0.515
0.0216,0.891,182334,0.67,"Dark Trap",0,1,0.0416,-6.367,1,"Cold Turkey",0.192,212.032,4,0.18
0.00176,0.587,219429,0.875,"Dark Trap",0.0335,1,0.353,-6.466,1,"ORANGE SODA",0.323,139.967,4,0.649
0.607,0.758,152999,0.716,"Dark Trap",9.52e-05,1,0.0653,-6.621,1,"Back At It",0.346,189.872,4,0.565
0.374,0.588,366731,0.658,"Dark Trap",0.843,1,0.0706,-9.978,1,"Cool",0.0366,206.892,4,0.117
0.344,0.587,215385,0.894,"Dark Trap",0.0379,9,0.385,-6.4,0,"Seashell",0.408,156.089,4,0.313
0.0502,0.358,240457,0.305,"Dark Trap",0.125,4,0.0739,-11.668,0,"Ocean Eyes",0.04,150.276,4,0.0732
0.036,0.829,131683,0.673,"Dark Trap",6.32e-05,5,0.214,-6.001,0,"Cherry P.I.E.",0.0379,123.992,4,0.505
0.0555,0.472,218865,0.583,"Dark Trap",0,2,0.0413,-7.537,1,"Homie (feat. Meek Mill)",0.261,194.046,3,0.443
0.0797,0.843,156081,0.52,"Dark Trap",5.09e-06,1,0.0944,-9.629,1,"For The Last Time",0.541,140.07,4,0.231
0.00125,0.897,127981,0.71,"Dark Trap",0.000302,1,0.135,-5.2,1,"HEADSHOT",0.281,180.008,4,0.796
0.0362,0.78,183000,0.901,"Dark Trap",0.00362,8,0.141,-2.016,1,"The Mystical Warlock",0.0801,160.079,4,0.576
0.265,0.645,184929,0.53,"Dark Trap",0.308,2,0.107,-8.126,1,"Entourage",0.0768,158.828,4,0.214
0.398,0.727,169979,0.62,"Dark Trap",0,8,0.0926,-6.443,1,"RIP Roach",0.306,210.006,4,0.555
0.179,0.272,260091,0.645,"Dark Trap",0.949,8,0.112,-7.591,1,"Forever",0.0545,199.902,4,0.173
0.0442,0.789,162462,0.531,"Dark Trap",0.266,6,0.0771,-10.087,1,"She Only Pop It If the Molyneux",0.234,130.017,4,0.313
0.288,0.77,175250,0.273,"Dark Trap",5.07e-05,1,0.0919,-14.79,1,"WhereTheTreesMeetTheFreeway",0.11,193.956,4,0.0375
0.00845,0.504,214385,0.837,"Dark Trap",0.00209,4,0.207,-5.869,0,"Blame",0.0407,130.14,4,0.0399
0.408,0.528,201923,0.586,"Dark Trap",9.06e-05,8,0.302,-8.831,0,"Desire",0.0472,129.959,4,0.317
0.0223,0.631,185491,0.67,"Dark Trap",0.138,3,0.358,-9.829,1,"Aahhyeahh",0.0622,144.983,4,0.0611
0.524,0.36,251425,0.487,"Dark Trap",0.012,9,0.211,-10.129,1,"Left Behind",0.0323,199.946,4,0.0438
0.153,0.829,195371,0.457,"Dark Trap",1.23e-05,0,0.0772,-10.91,1,"Feel",0.0729,118.015,4,0.257
0.00527,0.531,283404,0.522,"Dark Trap",0,8,0.149,-11.215,1,"Bodybag (Feat. cold hart)",0.0326,142.155,4,0.154
0.0863,0.789,122182,0.825,"Dark Trap",1.29e-05,10,0.131,-8.646,1,"Hard to Remember",0.214,220.074,4,0.241
0.382,0.693,151273,0.788,"Dark Trap",0,8,0.103,-6.179,0,"Gone",0.119,164.998,4,0.303
0.0645,0.37,233600,0.938,"Dark Trap",0.383,8,0.133,-6.147,0,"Can't Get Enough Of You",0.426,150.165,4,0.172
0.542,0.273,240039,0.229,"Dark Trap",0.927,6,0.373,-17.882,1,"Memory",0.0307,119.914,4,0.0398
0.0337,0.804,129856,0.686,"Dark Trap",0.000286,6,0.196,-0.236,1,"Shooting Dice",0.258,185.008,4,0.22
0.0013,0.593,220444,0.855,"Dark Trap",0.87,8,0.0796,-8.129,0,"Dusk",0.036,135.003,4,0.128
0.698,0.708,139375,0.298,"Dark Trap",0.772,7,0.304,-16.427,1,"HDMI",0.0578,124.863,4,0.118
0.407,0.845,140571,0.777,"Dark Trap",0,1,0.155,-5.435,0,"MURDER RATE",0.17,140.045,4,0.756
0.112,0.876,124676,0.768,"Dark Trap",1.21e-05,7,0.283,-6.606,1,"High 'N Mighty",0.201,111.958,5,0.72
0.00121,0.482,168000,0.934,"Dark Trap",0.916,8,0.146,-5.171,1,"Beyond the Carriage",0.04,119.976,4,0.25
0.202,0.876,175230,0.519,"Dark Trap",0,11,0.108,-6.531,1,"Plug Walk",0.143,189.962,4,0.158
0.00209,0.427,169423,0.88,"Dark Trap",0.73,5,0.421,-3.176,0,"Era",0.0641,170.081,4,0.322
0.0377,0.776,122954,0.466,"Dark Trap",0,0,0.116,-8.206,1,"F.T.W.",0.278,160.054,4,0.726
0.0282,0.568,90462,0.594,"Dark Trap",0.923,0,0.528,-5.815,1,"Marble",0.0338,129.994,4,0.191
0.0158,0.9,141790,0.5,"Dark Trap",0.00111,2,0.112,-8.471,1,"Hounds",0.219,140.012,4,0.0666
0.866,0.299,236800,0.676,"Dark Trap",0.053,6,0.18,-8.925,0,"Rebirth",0.164,149.872,4,0.0989
0.203,0.548,160000,0.506,"Dark Trap",1e-04,4,0.0788,-7.434,0,"Gangstas",0.102,119.987,5,0.557
0.273,0.611,234000,0.682,"Dark Trap",0.531,8,0.156,-11.394,0,"Awake",0.0724,139.908,4,0.0349
0.00801,0.687,289000,0.574,"Dark Trap",0.768,11,0.141,-8.697,0,"Cement",0.029,119.993,4,0.143
0.000288,0.362,282094,0.928,"Dark Trap",0.608,3,0.135,-4.525,1,"T-800",0.105,139.94,4,0.0773
0.231,0.51,315692,0.483,"Dark Trap",0.00485,7,0.104,-7.619,0,"Firmament",0.0387,130.047,4,0.134
0.153,0.668,150209,0.519,"Dark Trap",0.000815,8,0.101,-10.363,0,"Drug Lullaby",0.051,155.93,4,0.641
0.0363,0.275,285800,0.633,"Dark Trap",0.719,5,0.0834,-10.218,1,"Wings",0.05,139.992,4,0.0385
0.0601,0.892,119038,0.916,"Dark Trap",0.313,2,0.278,-2.074,1,"Dope Deala",0.0498,130.014,4,0.888
0.00123,0.737,135000,0.586,"Dark Trap",0.000169,4,0.293,-3.901,1,"Stop Calling Us Horrorcore",0.0638,144.042,5,0.146
0.0219,0.83,114000,0.7,"Dark Trap",0,4,0.102,-8.414,1,"PATNAH DEM",0.295,160.012,4,0.524
0.882,0.413,150857,0.306,"Dark Trap",0.634,4,0.287,-14.888,0,"Washed Away",0.0288,140.096,4,0.0567
0.0136,0.876,166799,0.492,"Dark Trap",0.000283,11,0.0678,-8.11,0,"@ MEH",0.153,151.044,4,0.4
0.095,0.493,189974,0.826,"Dark Trap",3.42e-06,9,0.252,-3.106,1,"Ultimate",0.311,112.865,4,0.75
0.0621,0.652,150912,0.468,"Dark Trap",0.0385,6,0.0901,-13.426,0,"Polish and Shine",0.0425,139.978,4,0.117
0.0701,0.871,119510,0.502,"Dark Trap",0.0037,8,0.116,-9.344,0,"Ashes",0.0538,130.024,4,0.497
0.492,0.942,119536,0.464,"Dark Trap",0.00251,0,0.105,-9.445,1,"Alexis Turns 21",0.1,129.236,4,0.153
0.238,0.737,158000,0.354,"Dark Trap",0.000102,2,0.111,-13.817,1,"Sometimes I Tell Myself I'm Fine",0.0343,111.97,4,0.0962
